Date,Price,Open,High,Low,Change %
"Aug 05, 2019",3.9783,3.8859,3.9786,3.8859,0.0229
"Aug 02, 2019",3.8893,3.8411,3.8937,3.8397,0.0128
"Aug 01, 2019",3.8403,3.8165,3.8618,3.8115,0.0072
"Jul 31, 2019",3.8129,3.7897,3.8236,3.7474,0.0059
"Jul 30, 2019",3.7906,3.7824,3.8,3.7751,0.0024
"Jul 29, 2019",3.7816,3.775,3.8007,3.775,0.0015
"Jul 26, 2019",3.7761,3.7795,3.7946,3.7593,-0.0008
"Jul 25, 2019",3.779,3.7744,3.8068,3.7546,0.0014
"Jul 24, 2019",3.7736,3.775,3.7797,3.752,0
"Jul 23, 2019",3.7737,3.7405,3.7794,3.7402,0.0088
"Jul 22, 2019",3.7407,3.7456,3.7481,3.7288,-0.0023
"Jul 19, 2019",3.7494,3.7199,3.755,3.7199,0.0081
"Jul 18, 2019",3.7193,3.7645,3.7645,3.7178,-0.0119
"Jul 17, 2019",3.7641,3.7692,3.7692,3.7542,-0.0012
"Jul 16, 2019",3.7687,3.7559,3.7717,3.7515,0.0032
"Jul 15, 2019",3.7567,3.7367,3.7588,3.7281,0.0052
"Jul 12, 2019",3.7373,3.7577,3.7644,3.7304,-0.0047
"Jul 11, 2019",3.7551,3.7549,3.7675,3.7346,0.0001
"Jul 10, 2019",3.7546,3.7883,3.7942,3.7496,-0.0121
"Jul 09, 2019",3.8005,3.8076,3.8076,3.8005,-0.0018
"Jul 08, 2019",3.8073,3.816,3.8179,3.7991,-0.0039
"Jul 05, 2019",3.8221,3.8024,3.8386,3.7976,0.0055
"Jul 04, 2019",3.8011,3.8266,3.8293,3.7828,-0.0068
"Jul 03, 2019",3.8272,3.8468,3.8758,3.815,-0.0048
"Jul 02, 2019",3.8456,3.8412,3.8813,3.8182,0.0013
"Jul 01, 2019",3.8405,3.8375,3.8488,3.8086,-0.003
"Jun 28, 2019",3.852,3.8189,3.852,3.8128,0.0085
"Jun 27, 2019",3.8196,3.8461,3.8728,3.8171,-0.0065
"Jun 26, 2019",3.8445,3.8481,3.859,3.8314,-0.0009
"Jun 25, 2019",3.848,3.8264,3.859,3.8182,0.0059
"Jun 24, 2019",3.8254,3.8216,3.8381,3.8065,0.0016
"Jun 21, 2019",3.8192,3.8313,3.8458,3.8119,-0.0052
"Jun 20, 2019",3.839,3.8387,3.8397,3.8387,0
"Jun 19, 2019",3.839,3.8603,3.884,3.8376,-0.0055
"Jun 18, 2019",3.8603,3.8899,3.8899,3.8489,-0.0072
"Jun 17, 2019",3.8883,3.8967,3.9245,3.8792,-0.0019
"Jun 14, 2019",3.8958,3.8491,3.9135,3.8479,0.0122
"Jun 13, 2019",3.8487,3.867,3.8675,3.8342,-0.0048
"Jun 12, 2019",3.8672,3.8573,3.8723,3.8293,0.0026
"Jun 11, 2019",3.8571,3.887,3.887,3.842,-0.0081
"Jun 10, 2019",3.8887,3.8763,3.9003,3.8674,0.0025
"Jun 07, 2019",3.8789,3.8806,3.8864,3.8505,-0.0002
"Jun 06, 2019",3.8798,3.8813,3.8878,3.8563,-0.0003
"Jun 05, 2019",3.8811,3.8569,3.9036,3.8357,0.0068
"Jun 04, 2019",3.8548,3.8857,3.8899,3.8485,-0.008
"Jun 03, 2019",3.8859,3.9233,3.9349,3.8823,-0.0094
"May 31, 2019",3.9228,3.9802,3.9988,3.909,-0.0148
"May 30, 2019",3.9818,3.9743,3.9931,3.9542,0.0018
"May 29, 2019",3.9747,4.0247,4.0408,3.9678,-0.0124
"May 28, 2019",4.0247,4.0432,4.0539,4.0101,-0.0044
"May 27, 2019",4.0423,4.0134,4.0441,4.0042,0.0049
"May 24, 2019",4.0225,4.0426,4.0485,4.0092,-0.0044
"May 23, 2019",4.0401,4.0405,4.0717,4.0255,0
"May 22, 2019",4.0403,4.0384,4.053,4.0062,0.0003
"May 21, 2019",4.039,4.0966,4.1136,4.0329,-0.0141
"May 20, 2019",4.0968,4.1014,4.1217,4.0774,-0.0008
"May 17, 2019",4.0999,4.048,4.1129,4.0472,0.0131
"May 16, 2019",4.0469,4.0014,4.0542,3.9933,0.0113
"May 15, 2019",4.0017,3.9765,4.0218,3.9735,0.0067
"May 14, 2019",3.9751,3.9926,3.9952,3.9661,-0.0047
"May 13, 2019",3.9939,3.9771,4.0057,3.9733,0.0093
"May 10, 2019",3.9572,3.947,3.9736,3.9363,0.0027
"May 09, 2019",3.9466,3.9283,3.9818,3.9283,0.0046
"May 08, 2019",3.9285,3.9708,3.9781,3.9251,-0.0107
"May 07, 2019",3.971,3.971,4.0006,3.964,0.0004
"May 06, 2019",3.9695,3.9386,3.9754,3.9386,0.0079
"May 03, 2019",3.9382,3.9669,3.9684,3.9304,-0.007
"May 02, 2019",3.9661,3.9198,3.9722,3.9181,0.0117
"May 01, 2019",3.9202,3.9201,3.922,3.9182,-0.0003
"Apr 30, 2019",3.9215,3.9453,3.9573,3.9127,-0.0061
"Apr 29, 2019",3.9456,3.9304,3.9466,3.9214,0.0041
"Apr 26, 2019",3.9293,3.9505,3.9758,3.9194,-0.0063
"Apr 25, 2019",3.9542,3.9918,4.0071,3.9467,-0.0096
"Apr 24, 2019",3.9927,3.9204,3.9942,3.9185,0.0183
"Apr 23, 2019",3.9211,3.937,3.9648,3.9131,-0.0039
